a07-i01	50:65:f3:2d:26:c1
a07-i02	50:65:f3:1f:b9:1b
a07-i03	50:65:f3:29:1d:1d
a07-i04	50:65:f3:2d:2b:a2
a07-i05	50:65:f3:30:48:2f
a07-i06	50:65:f3:26:dc:89
a07-i07	50:65:f3:26:de:9e
a07-i08	50:65:f3:30:48:21
a07-i09	50:65:f3:26:da:36
a07-i10	50:65:f3:27:26:49
a07-i11	50:65:f3:2d:02:3c
a07-i12	50:65:f3:26:dc:4e
a07-i13	50:65:f3:26:de:0a
a07-i14	50:65:f3:27:26:a3
a07-i15	50:65:f3:26:de:6d
a07-i16	50:65:f3:26:dc:fd
a07-i17	50:65:f3:2d:00:5a
a07-i18	50:65:f3:1f:9f:ad
a07-i19	50:65:f3:33:80:0a
a07-i20	50:65:f3:30:48:2a
a07-i21	50:65:f3:27:26:02
a07-i22	50:65:f3:27:2d:4b
a84-i01	50:65:f3:30:47:f9
a84-i02	50:65:f3:26:de:ed
a84-i03	50:65:f3:30:47:e1
a84-i04	50:65:f3:1f:b9:6c
a84-i05	50:65:f3:2d:23:3f
a84-i06	50:65:f3:1f:b9:68
a84-i07	50:65:f3:2d:23:a1
a84-i08	50:65:f3:29:1d:19
a84-i09	50:65:f3:20:7d:f4
a84-i10	50:65:f3:26:dd:1b
a84-i11	50:65:f3:1f:b9:72
a84-i12	50:65:f3:27:25:04
a84-i13	50:65:f3:1f:b9:8a
a84-i14	50:65:f3:1f:a1:42
a84-i15	50:65:f3:2d:23:38
a84-i16	50:65:f3:30:47:e8
a84-i17	50:65:f3:1f:b9:14
a84-i18	50:65:f3:26:fc:b6
a84-i19	50:65:f3:45:b5:97
a84-i20	50:65:f3:26:fc:5f
a84-i21	50:65:f3:30:47:e2
a84-i22	50:65:f3:2d:02:1f
a84-i23	50:65:f3:26:fc:d0
a84-i24	50:65:f3:20:b2:9f
a84-i25	50:65:f3:20:b2:a6
a84-i26	50:65:f3:2d:03:54
a84-i27	50:65:f3:2d:02:1b
a84-i28	50:65:f3:30:47:d7
a84-i29	50:65:f3:30:47:dd
a84-i30	50:65:f3:27:2d:27
a84-i33	50:65:f3:3f:a1:fa
a84-i34	50:65:f3:47:6c:99
a84-i35	50:65:f3:38:0e:24
a02-pro	50:65:f3:1c:92:3d
a03-pro	50:65:f3:26:ba:4c
a07-pro	50:65:f3:1e:0a:a4
a08-pro	ec:b1:d7:50:bd:30
a15-pro	50:65:f3:1c:92:b8
a16-pro	50:65:f3:24:7e:33
a17-pro	ec:b1:d7:5e:ba:e8
a18-pro	50:65:f3:1d:16:10
a20-pro	50:65:f3:1d:17:38
a32-pro	50:65:f3:2d:80:dd
a33-pro	50:65:f3:2b:4d:22
a34-pro	50:65:f3:1e:87:d4
a35-pro	ec:b1:d7:5e:73:43
a44-pro	50:65:f3:2a:18:cd
a46-pro	50:65:f3:1e:87:ca
a47-pro	ec:b1:d7:5e:bc:5c
a48-pro	50:65:f3:1c:92:6f
a49-pro	50:65:f3:24:7e:28
a80-pro	50:65:f3:1e:0a:c7
a81-pro	50:65:f3:1e:0a:8a
a84-pro	50:65:f3:1d:16:fa
d-desdobleeso	ec:b1:d7:5e:75:c3
d-mates	50:65:f3:1f:75:b3
d-musica	50:65:f3:28:a8:ab
a-apoyoeso	00:22:15:79:4c:a4
a04-pro	00:22:15:79:50:05
a06-pro	90:e6:ba:44:24:31
a09-pro	00:22:15:79:4c:40
a10-pro	00:22:15:81:5c:8b
a11-pro	00:22:15:81:5c:87
a12-pro	00:22:15:81:63:ac
a13-pro	00:22:15:81:82:61
a14-pro	00:22:15:81:81:95
a19-pro	00:22:15:79:4c:5e
a21-pro	00:22:15:6e:9c:ba
a22-pro	00:22:15:79:4c:3a
a23-pro	00:22:15:79:3e:3d
a24-pro	00:22:15:79:50:1c
a25-pro	00:22:15:79:4c:56
a26-pro	00:22:15:8e:bf:24
a27-pro	00:22:15:81:5c:72
a28-pro	00:22:15:79:4c:39
a29-pro	00:22:15:79:4c:47
a30-pro	00:22:15:79:4c:45
a31-pro	00:22:15:77:17:85
a37-pro	00:22:15:79:4c:46
a38-pro	00:22:15:8e:bf:12
a39-pro	00:22:15:63:fd:3a
a40-pro	00:22:15:77:16:56
a41-pro	00:22:15:79:4c:bc
a42-pro	00:22:15:79:4c:5d
a43-pro	00:22:15:79:4c:4a
a45-pro	00:22:15:9c:86:8b
a00-p01	80:FA:5B:01:92:6E
a00-p02	00:90:f5:fb:d0:bf
a00-p03	88:ae:1d:1a:f7:5f
a00-p04	80:fa:5b:01:92:17
a00-p05	00:90:f5:fb:54:84
a00-p06	70:5a:b6:32:80:9d
a00-p07	c4:46:19:1d:07:8c
a00-p08	70:5a:b6:30:df:95
a00-p09	80:fa:5b:01:01:1f
a00-p10	80:fa:5b:01:95:fd
a00-p11	80:fa:5b:01:90:ad
a00-p12	80:fa:5b:01:93:8b
a00-p13	80:fa:5b:01:92:6c
a00-p14	78:e4:00:b8:d8:1f
a00-p16	78:e4:00:b9:99:22
a02-o01	00:01:80:38:40:EE
a02-o02	00:01:80:38:41:B7
a02-o03	00:01:80:38:42:30
a02-o04	00:01:80:36:82:2A
a02-o05	00:01:80:36:82:25
a02-o06	00:01:80:38:8A:07
a02-o07	00:01:80:36:80:46
a02-o08	00:01:80:36:7F:60
a02-o09	00:01:80:38:41:7C
a02-o10	00:01:80:38:88:AE
a02-o11	00:01:80:36:7F:22
a03-o01	00:01:80:38:8A:22
a03-o02	00:01:80:38:40:83
a03-o03	00:01:80:38:42:03
a03-o04	00:01:80:38:41:B3
a03-o05	00:01:80:38:87:e9
a03-o06	00:01:80:38:41:AA
